1223
CT	1970	6	7
CT	1971	2	1
CT	1971	3	11
CT	1971	4	4
CT	1971	6	7
CT	1972	3	13
CT	1972	5	6
CT	1973	2	3
CT	1973	3	1
CT	1973	5	6
CT	1973	7	1
CT	1974	2	9
CT	1974	3	18
CT	1974	4	19
CT	1974	5	13
CT	1974	6	21
CT	1974	7	16
CT	1975	0	1
CT	1975	1	5
CT	1975	2	28
CT	1975	3	8
CT	1975	4	13
CT	1975	5	25
CT	1975	6	24
CT	1975	7	16
CT	1976	2	15
CT	1976	3	50
CT	1976	4	66
CT	1976	5	24
CT	1976	6	30
CT	1976	7	8
CT	1977	0	3
CT	1977	2	23
CT	1977	3	46
CT	1977	4	23
CT	1977	5	40
CT	1977	6	35
CT	1977	7	27
CT	1978	1	11
CT	1978	2	3
CT	1978	3	46
CT	1978	4	58
CT	1978	5	30
CT	1978	6	13
CT	1978	7	26
CT	1979	1	3
CT	1979	2	32
CT	1979	3	30
CT	1979	7	6
CT	1980	0	2
CT	1980	1	24
CT	1980	2	40
CT	1980	3	55
CT	1980	4	62
CT	1980	5	68
CT	1980	6	50
CT	1980	7	49
CT	1981	0	5
CT	1981	1	44
CT	1981	2	82
CT	1981	3	77
CT	1981	4	73
CT	1981	5	55
CT	1981	6	57
CT	1981	7	53
CT	1982	0	1
CT	1982	1	17
CT	1982	2	42
CT	1982	3	67
CT	1982	4	38
CT	1982	5	35
CT	1982	6	48
CT	1982	7	34
CT	1983	1	3
CT	1983	2	44
CT	1983	3	44
CT	1983	4	67
CT	1983	5	38
CT	1983	6	33
CT	1983	7	65
CT	1984	0	2
CT	1984	1	17
CT	1984	2	27
CT	1984	3	53
CT	1984	4	47
CT	1984	5	53
CT	1984	6	35
CT	1984	7	29
CT	1985	0	6
CT	1985	1	50
CT	1985	2	89
CT	1985	3	41
CT	1985	4	33
CT	1985	5	28
CT	1985	6	14
CT	1985	7	35
CT	1986	0	7
CT	1986	1	20
CT	1986	2	60
CT	1986	3	42
CT	1986	4	33
CT	1986	5	32
CT	1986	6	55
CT	1986	7	38
CT	1987	0	7
CT	1987	1	11
CT	1987	2	27
CT	1987	3	53
CT	1987	4	90
CT	1987	5	48
CT	1987	6	47
CT	1987	7	40
CT	1988	0	4
CT	1988	1	16
CT	1988	2	35
CT	1988	3	36
CT	1988	4	61
CT	1988	5	33
CT	1988	6	41
CT	1988	7	29
CT	1989	0	14
CT	1989	1	30
CT	1989	2	54
CT	1989	3	40
CT	1989	4	61
CT	1989	5	43
CT	1989	6	46
CT	1989	7	53
CT	1990	0	21
CT	1990	1	27
CT	1990	2	44
CT	1990	3	71
CT	1990	4	41
CT	1990	5	45
CT	1990	6	47
CT	1990	7	43
CT	1991	0	11
CT	1991	1	29
CT	1991	2	58
CT	1991	3	37
CT	1991	4	24
CT	1991	5	49
CT	1991	6	42
CT	1991	7	49
CT	1992	0	9
CT	1992	1	16
CT	1992	2	66
CT	1992	3	61
CT	1992	4	48
CT	1992	5	42
CT	1992	6	53
CT	1992	7	33
CT	1993	0	9
CT	1993	1	30
CT	1993	2	56
CT	1993	3	60
CT	1993	4	37
CT	1993	5	42
CT	1993	6	38
CT	1993	7	43
CT	1994	0	32
CT	1994	1	27
CT	1994	2	95
CT	1994	3	67
CT	1994	4	35
CT	1994	5	39
CT	1994	6	73
CT	1994	7	34
CT	1995	0	6
CT	1995	1	26
CT	1995	2	37
CT	1995	3	54
CT	1995	4	41
CT	1995	5	31
CT	1995	6	18
CT	1995	7	36
CT	1996	0	2
CT	1996	1	7
CT	1996	2	38
CT	1996	3	60
CT	1996	4	46
CT	1996	5	34
CT	1996	6	42
CT	1996	7	18
CT	1997	0	27
CT	1997	1	38
CT	1997	2	84
CT	1997	3	69
CT	1997	4	70
CT	1997	5	31
CT	1997	6	46
CT	1997	7	34
CT	1998	0	16
CT	1998	1	50
CT	1998	2	51
CT	1998	3	66
CT	1998	4	46
CT	1998	5	48
CT	1998	6	44
CT	1998	7	25
CT	1999	0	13
CT	1999	1	4
CT	1999	2	54
CT	1999	3	56
CT	1999	4	45
CT	1999	5	42
CT	1999	6	38
CT	1999	7	28
CT	2000	0	19
CT	2000	1	46
CT	2000	2	78
CT	2000	3	95
CT	2000	4	80
CT	2000	5	78
CT	2000	6	46
CT	2000	7	67
CT	2001	0	17
CT	2001	1	42
CT	2001	2	61
CT	2001	3	48
CT	2001	4	37
CT	2001	5	45
CT	2001	6	27
CT	2001	7	39
CT	2002	0	18
CT	2002	1	44
CT	2002	2	67
CT	2002	3	78
CT	2002	4	91
CT	2002	5	46
CT	2002	6	38
CT	2002	7	34
CT	2003	0	7
CT	2003	1	62
CT	2003	2	33
CT	2003	3	71
CT	2003	4	82
CT	2003	5	38
CT	2003	6	54
CT	2003	7	47
CT	2004	0	21
CT	2004	1	24
CT	2004	2	91
CT	2004	3	80
CT	2004	4	68
CT	2004	5	35
CT	2004	6	37
CT	2004	7	36
CT	2005	0	17
CT	2005	1	55
CT	2005	2	42
CT	2005	3	69
CT	2005	4	64
CT	2005	5	60
CT	2005	6	43
CT	2005	7	23
CT	2006	0	16
CT	2006	1	110
CT	2006	2	69
CT	2006	3	137
CT	2006	4	100
CT	2006	5	81
CT	2006	6	105
CT	2006	7	96
MA	2001	0	8
MA	2001	1	14
MA	2001	2	14
MA	2001	4	1
MA	2002	0	9
MA	2002	1	18
MA	2002	2	17
MA	2002	3	52
MA	2002	4	42
MA	2002	5	22
MA	2002	6	24
MA	2002	7	30
MA	2003	0	6
MA	2003	1	56
MA	2003	2	21
MA	2003	3	65
MA	2003	4	54
MA	2003	5	19
MA	2003	6	34
MA	2003	7	34
MA	2004	0	8
MA	2004	1	8
MA	2004	2	55
MA	2004	3	35
MA	2004	4	46
MA	2004	5	26
MA	2004	6	28
MA	2004	7	24
MA	2005	0	21
MA	2005	1	46
MA	2005	2	34
MA	2005	3	55
MA	2005	4	62
MA	2005	5	25
MA	2005	6	21
MA	2005	7	6
MA	2006	0	8
MA	2006	1	51
MA	2006	2	30
MA	2006	3	88
MA	2006	4	69
MA	2006	5	30
MA	2006	6	61
MA	2006	7	53
MD	2003	1	5
MD	2003	2	3
MD	2003	3	4
MD	2003	4	4
MD	2003	5	14
MD	2003	6	22
MD	2003	7	15
MD	2004	0	3
MD	2004	1	6
MD	2004	2	11
MD	2004	3	11
MD	2004	4	13
MD	2004	5	4
MD	2004	6	8
MD	2004	7	10
MD	2005	0	10
MD	2005	1	3
MD	2005	2	9
MD	2005	3	21
MD	2005	4	21
MD	2005	5	17
MD	2005	6	16
MD	2005	7	7
MD	2006	1	14
MD	2006	2	15
MD	2006	3	51
MD	2006	4	22
MD	2006	5	23
MD	2006	6	19
MD	2006	7	15
ME	2003	0	13
ME	2003	1	23
ME	2003	2	16
ME	2003	3	12
ME	2003	4	13
ME	2003	5	5
ME	2003	6	9
ME	2003	7	20
ME	2004	0	20
ME	2004	2	28
ME	2004	3	14
ME	2004	4	24
ME	2004	5	13
ME	2004	6	11
ME	2004	7	5
ME	2005	0	23
ME	2005	1	24
ME	2005	2	11
ME	2005	3	5
ME	2005	4	18
ME	2005	5	15
ME	2005	6	4
ME	2006	0	14
ME	2006	1	12
ME	2006	2	22
